Datum och tid för uttag,Register/källa,Titel,Diagramrubrik,Indikator-Id,Mätperiod,Periodtyp,Enhetskod,Enhetstyp,Enhetsnamn,Ålder,Kön/Totalt,Måttenhet,Värde
 2023-12-21 12:37:5,"Patientregistret, Socialstyrelsen",Besök på akutmottagning somatisk vård,Antal besök på akutmottagning somatisk vård per månad.,77006d04-84bd-4dd3-ba73-034b48385b8e,2023-07,Månad,SE,Land,Riket,Alla,Totalt,Antal,189155
 2023-12-21 12:37:5,"Patientregistret, Socialstyrelsen",Besök på akutmottagning somatisk vård,Antal besök på akutmottagning somatisk vård per månad.,77006d04-84bd-4dd3-ba73-034b48385b8e,2023-06,Månad,SE,Land,Riket,Alla,Totalt,Antal,196540
 2023-12-21 12:37:5,"Patientregistret, Socialstyrelsen",Besök på akutmottagning somatisk vård,Antal besök på akutmottagning somatisk vård per månad.,77006d04-84bd-4dd3-ba73-034b48385b8e,2023-05,Månad,SE,Land,Riket,Alla,Totalt,Antal,206353
 2023-12-21 12:37:5,"Patientregistret, Socialstyrelsen",Besök på akutmottagning somatisk vård,Antal besök på akutmottagning somatisk vård per månad.,77006d04-84bd-4dd3-ba73-034b48385b8e,2023-04,Månad,SE,Land,Riket,Alla,Totalt,Antal,192023
 2023-12-21 12:37:5,"Patientregistret, Socialstyrelsen",Besök på akutmottagning somatisk vård,Antal besök på akutmottagning somatisk vård per månad.,77006d04-84bd-4dd3-ba73-034b48385b8e,2023-03,Månad,SE,Land,Riket,Alla,Totalt,Antal,202313
 2023-12-21 12:37:5,"Patientregistret, Socialstyrelsen",Besök på akutmottagning somatisk vård,Antal besök på akutmottagning somatisk vård per månad.,77006d04-84bd-4dd3-ba73-034b48385b8e,2023-02,Månad,SE,Land,Riket,Alla,Totalt,Antal,177802
 2023-12-21 12:37:5,"Patientregistret, Socialstyrelsen",Besök på akutmottagning somatisk vård,Antal besök på akutmottagning somatisk vård per månad.,77006d04-84bd-4dd3-ba73-034b48385b8e,2023-01,Månad,SE,Land,Riket,Alla,Totalt,Antal,192563
 2023-12-21 12:37:5,"Patientregistret, Socialstyrelsen",Besök på akutmottagning somatisk vård,Antal besök på akutmottagning somatisk vård per månad.,77006d04-84bd-4dd3-ba73-034b48385b8e,2022-12,Månad,SE,Land,Riket,Alla,Totalt,Antal,200206
 2023-12-21 12:37:5,"Patientregistret, Socialstyrelsen",Besök på akutmottagning somatisk vård,Antal besök på akutmottagning somatisk vård per månad.,77006d04-84bd-4dd3-ba73-034b48385b8e,2022-11,Månad,SE,Land,Riket,Alla,Totalt,Antal,192133
 2023-12-21 12:37:5,"Patientregistret, Socialstyrelsen",Besök på akutmottagning somatisk vård,Antal besök på akutmottagning somatisk vård per månad.,77006d04-84bd-4dd3-ba73-034b48385b8e,2022-10,Månad,SE,Land,Riket,Alla,Totalt,Antal,197139
