calls_answered,calls_total,calls_missed,date,calls_answered_ratio,calls_answered_ratio_calc,region,region_id
4134,5057,923,2019-11-30,81.75 %,0.8174807198,sörmland,4
6574,8093,1519,2019-12-31,81.23 %,0.8123069319,sörmland,4
8873,12878,4005,2020-01-31,68.90 %,0.6890045038,sörmland,4
8797,13173,4376,2020-02-29,66.78 %,0.6678053594,sörmland,4
10979,22308,11329,2020-03-31,49.22 %,0.4921552806,sörmland,4
11435,16815,5380,2020-04-30,68.00 %,0.6800475766,sörmland,4
10986,13900,2914,2020-05-31,79.04 %,0.7903597122,sörmland,4
9160,15174,6014,2020-06-30,60.37 %,0.6036641624,sörmland,4
8918,13358,4440,2020-07-31,66.76 %,0.6676149124,sörmland,4
9413,13160,3747,2020-08-31,71.53 %,0.7152735562,sörmland,4
9100,13992,4892,2020-09-30,65.04 %,0.6503716409,sörmland,4
9903,14818,4915,2020-10-31,66.83 %,0.6683088136,sörmland,4
10859,18147,7288,2020-11-30,59.84 %,0.5983909186,sörmland,4
10138,15587,5449,2020-12-31,65.04 %,0.6504138064,sörmland,4
9913,14556,4643,2021-01-31,68.10 %,0.6810250069,sörmland,4
8796,12797,4001,2021-02-28,68.73 %,0.6873485973,sörmland,4
10952,18017,7065,2021-03-31,60.79 %,0.6078703447,sörmland,4
10080,18642,8562,2021-04-30,54.07 %,0.5407145156,sörmland,4
10057,16886,6829,2021-05-31,59.56 %,0.5955821391,sörmland,4
8657,15715,7058,2021-06-30,55.09 %,0.5508749602,sörmland,4
7770,15799,8029,2021-07-31,49.18 %,0.4918032787,sörmland,4
8283,14276,5993,2021-08-31,58.02 %,0.5802045391,sörmland,4
8709,13190,4481,2021-09-30,66.03 %,0.660272934,sörmland,4
9076,14485,5409,2021-10-31,62.66 %,0.6265792199,sörmland,4
8684,12859,4175,2021-11-30,67.53 %,0.6753246753,sörmland,4
9795,14572,4777,2021-12-31,67.22 %,0.6721795224,sörmland,4
56364,81185,24821,2017-01-31,69.43 %,0.6942661822,västragötland,14
52650,77212,24562,2017-02-28,68.19 %,0.6818888256,västragötland,14
57365,81784,24419,2017-03-31,70.14 %,0.7014208158,västragötland,14
51387,76108,24721,2017-04-30,67.52 %,0.675185263,västragötland,14
52242,82681,30439,2017-05-31,63.19 %,0.6318501228,västragötland,14
50268,75230,24962,2017-06-30,66.82 %,0.6681908813,västragötland,14
44300,71921,27621,2017-07-31,61.60 %,0.6159536158,västragötland,14
48230,66918,18688,2017-08-31,72.07 %,0.7207328372,västragötland,14
48599,67990,19391,2017-09-30,71.48 %,0.7147962936,västragötland,14
49134,72351,23217,2017-10-31,67.91 %,0.6791060248,västragötland,14
48488,68442,19954,2017-11-30,70.85 %,0.7084538734,västragötland,14
50126,76352,26226,2017-12-31,65.65 %,0.6565119447,västragötland,14
52829,84101,31272,2018-01-31,62.82 %,0.6281613774,västragötland,14
44201,78327,34126,2018-02-28,56.43 %,0.5643137105,västragötland,14
49399,86931,37532,2018-03-31,56.83 %,0.5682552829,västragötland,14
47019,74361,27342,2018-04-30,63.23 %,0.6323072578,västragötland,14
47459,75206,27747,2018-05-31,63.11 %,0.6310533734,västragötland,14
44778,71480,26702,2018-06-30,62.64 %,0.6264409625,västragötland,14
41500,69721,28221,2018-07-31,59.52 %,0.5952295578,västragötland,14
43657,65606,21949,2018-08-31,66.54 %,0.6654421852,västragötland,14
44995,65175,20180,2018-09-30,69.04 %,0.6903720752,västragötland,14
48056,68170,20114,2018-10-31,70.49 %,0.7049435235,västragötland,14
46677,63728,17051,2018-11-30,73.24 %,0.7324409992,västragötland,14
47903,61561,13658,2018-12-31,77.81 %,0.7781387567,västragötland,14
53157,66844,13687,2019-01-31,79.52 %,0.7952396625,västragötland,14
47715,60652,12937,2019-02-28,78.67 %,0.7867011805,västragötland,14
50635,63339,12704,2019-03-31,79.94 %,0.7994284722,västragötland,14
49143,62550,13407,2019-04-30,78.57 %,0.7856594724,västragötland,14
49859,62108,12249,2019-05-31,80.28 %,0.8027790301,västragötland,14
46597,59769,13172,2019-06-30,77.96 %,0.7796181967,västragötland,14
43883,56996,13113,2019-07-31,76.99 %,0.7699312232,västragötland,14
46425,57940,11515,2019-08-31,80.13 %,0.8012599241,västragötland,14
48350,59092,10742,2019-09-30,81.82 %,0.8182156637,västragötland,14
50612,61127,10515,2019-10-31,82.80 %,0.8279810886,västragötland,14
49513,61855,12342,2019-11-30,80.05 %,0.8004688384,västragötland,14
50519,64528,14009,2019-12-31,78.29 %,0.7829004463,västragötland,14
52812,66400,13588,2020-01-31,79.54 %,0.7953614458,västragötland,14
48715,65330,16615,2020-02-29,74.57 %,0.7456757998,västragötland,14
60354,105913,45559,2020-03-31,56.98 %,0.5698450615,västragötland,14
58257,79750,21493,2020-04-30,73.05 %,0.7304952978,västragötland,14
55297,73785,18488,2020-05-31,74.94 %,0.7494341668,västragötland,14
48173,73984,25811,2020-06-30,65.11 %,0.6511272708,västragötland,14
41798,61158,19360,2020-07-31,68.34 %,0.6834428856,västragötland,14
44916,66989,22073,2020-08-31,67.05 %,0.6704981415,västragötland,14
44313,63373,19060,2020-09-30,69.92 %,0.6992410017,västragötland,14
47114,65757,18643,2020-10-31,71.65 %,0.7164864577,västragötland,14
48167,77156,28989,2020-11-30,62.43 %,0.6242806781,västragötland,14
50365,77720,27355,2020-12-31,64.80 %,0.6480313948,västragötland,14
49705,70438,20733,2021-01-31,70.57 %,0.7056560379,västragötland,14
43453,61954,18501,2021-02-28,70.14 %,0.7013752139,västragötland,14
